"image median grand effect","median r1 effect","median r2 effect"
-0.0406768642059744,0.0277328491210938,-0.0277328491210938
-0.042292874479947,0.0286853319978061,-0.0286853319978061
-0.0506511792744676,0.0282465477512307,-0.0282465477512307
-0.060775323110084,0.0282037395320527,-0.0282037395320527
-0.0697436450278922,0.0291027121347924,-0.0291027121347924
-0.0749662477676183,0.0312645272032855,-0.0312645272032855
-0.0775882511922758,0.0354918388471211,-0.0354918388471211
-0.0788296895484402,0.042683619669039,-0.042683619669039
-0.0797607683155635,0.0506780546005458,-0.0506780546005458
-0.0825861107813169,0.0573561367923266,-0.0573561367923266
-0.0870381655758374,0.0655111025457513,-0.0655111025457513
-0.0911798607813169,0.0721142703539705,-0.0721142703539705
-0.0911477546169333,0.071097575148491,-0.071097575148491
-0.083410169000495,0.0646870443265732,-0.0646870443265732
-0.0730826861237826,0.0580410682991759,-0.0580410682991759
-0.066490220370358,0.0548090477512307,-0.0548090477512307
-0.066244073110084,0.0543702635046554,-0.0543702635046554
-0.0689837991374813,0.0526365306279431,-0.0526365306279431
-0.0710814018772073,0.0497683799430116,-0.0497683799430116
-0.0688981826991251,0.0493402977512307,-0.0493402977512307
-0.0662975833840566,0.0509777121347924,-0.0509777121347924
-0.0655698436580292,0.053396376518354,-0.053396376518354
-0.068074124479947,0.0562217189841075,-0.0562217189841075
-0.0751374806443306,0.0588330203539705,-0.0588330203539705
-0.0863532340689881,0.0619794244635595,-0.0619794244635595
-0.101004347082687,0.0638950922717787,-0.0638950922717787
-0.114906316260769,0.0670736025457513,-0.0670736025457513
-0.120878062836111,0.0741155546005458,-0.0741155546005458
-0.112937138178577,0.0860376436416417,-0.0860376436416417
-0.0968947580415909,0.0971356744635595,-0.0971356744635595
-0.0766892785895361,0.106039784052601,-0.106039784052601
-0.0550925320141936,0.114451599121094,-0.114451599121094
-0.0392534909183032,0.123227284052601,-0.123227284052601
-0.0280484395484402,0.133511958710135,-0.133511958710135
-0.0169718128361114,0.143882249806025,-0.143882249806025
-0.00798208680871415,0.148334304600546,-0.148334304600546
-0.00748979228816621,0.143818037477258,-0.143818037477258
-0.0118455285895361,0.135117266929313,-0.135117266929313
-0.0211884224251525,0.124832592271779,-0.124832592271779
-0.0358181313292621,0.110010246381368,-0.110010246381368
-0.0499127374936457,0.0902649552854773,-0.0902649552854773
-0.0603365388635087,0.0761382429567102,-0.0761382429567102
-0.0607860251648785,0.0896656402169842,-0.0896656402169842
-0.0507581998224128,0.13674397925808,-0.13674397925808
-0.0342663333840566,0.19645074295671,-0.19645074295671
-0.0149705285895361,0.244256821723833,-0.244256821723833
-0.00197823406898814,0.263178054600546,-0.263178054600546
-0.00396881626076895,0.261208876518354,-0.261208876518354
0.0113244200406009,0.262182763504655,-0.262182763504655
0.00968700565703928,0.33004449295671,-0.33004449295671
0.00381157757484749,0.330076599121094,-0.330076599121094
-0.00536008338405664,0.385952027203286,-0.385952027203286
0.0600936837392311,0.0678869587101349,-0.0678869587101349
0.0296249337392311,0.083351427888217,-0.083351427888217
-0.00421496352104292,0.101758962134792,-0.101758962134792
-0.0290651347539196,0.12682317446356,-0.12682317446356
-0.0267534909183032,0.153728140216984,-0.153728140216984
-0.0446045183155635,0.128728140216984,-0.128728140216984
-0.0751909909183032,0.0548625580252033,-0.0548625580252033
-0.0714773779046046,0.0119366162443814,-0.0119366162443814
-0.0582068299593991,-0.00054197964602954,0.000541979646029533
-0.0540009224251525,-0.00162288718027612,0.00162288718027611
-0.043074124479947,0.00960356829917594,-0.00960356829917594
-0.0395531484525498,0.0184113593950664,-0.0184113593950663
-0.0453001518772073,0.0221677806279431,-0.0221677806279431
-0.0539795183155635,0.0261382429567102,-0.0261382429567102
-0.0642534909183032,0.0297127292580801,-0.0297127292580801
-0.0739174463977552,0.0324631573402718,-0.0324631573402718
-0.0802958710552895,0.0344751436416417,-0.0344751436416417
-0.0818583710552895,0.0373646984361622,-0.0373646984361622
-0.0798570868087141,0.0427478319978061,-0.0427478319978061
-0.0779949292744676,0.0492332772032855,-0.0492332772032855
-0.0778451005073443,0.0550765991210937,-0.0550765991210938
-0.0811199292744676,0.0599353319978061,-0.0599353319978061
-0.0858395354388511,0.0635205203539705,-0.0635205203539705
-0.0876160765347415,0.0625787395320526,-0.0625787395320526
-0.083410169000495,0.0586938936416417,-0.0586938936416417
-0.0746451861237826,0.0540813080252033,-0.0540813080252033
-0.0661156484525498,0.0505603319978061,-0.0505603319978061
-0.0606790046169333,0.048955023778628,-0.048955023778628
-0.0584208710552895,0.0464400409019157,-0.0464400409019157
-0.0570724121511799,0.0432508285731485,-0.0432508285731485
-0.0552744669457004,0.0428227463813677,-0.0428227463813677
-0.0536905628361114,0.0442782258334225,-0.0442782258334225
-0.0543433881785772,0.0454019415868472,-0.0454019415868472
-0.0576931313292621,0.0467611025457513,-0.0467611025457513
-0.065687566260769,0.0491048525457513,-0.0491048525457513
-0.0772564874936457,0.0556009998060253,-0.0556009998060253
-0.0913082854388511,0.0641305374772581,-0.0641305374772581
-0.102780888178577,0.0723283114498609,-0.0723283114498609
-0.106248353932002,0.0796485169293129,-0.0796485169293129
-0.0976010936580292,0.086990126518354,-0.086990126518354
